chr1	45660497	45660548	ENST00000290795.7__802-853	0	-	45660497	45660548	0	2	47,4,	0,47,	chr1	45660497	45660548	c1riboseqorf92	0	-	45660497	45660548	0	1	51,	0,	51
chr1	185311280	185316985	ENST00000367498.8__258-333	0	-	185311280	185316985	0	3	42,31,2,	0,5672,5703,	chr1	185311280	185316985	c1riboseqorf248	0	-	185311280	185316985	0	2	42,33,	0,5672,	75
chr1	15973039	15975989	ENST00000537142.5__90-183	0	-	15973039	15975989	0	2	86,7,	0,2943,	chr1	15973039	15975989	c1riboseqorf26	0	-	15973039	15975989	0	2	86,7,	0,2943,	93
chr1	108885435	108885486	ENST00000643094.1__433-484	0	+	108885435	108885486	0	1	51,	0,	chr1	108885435	108885486	c1riboseqorf138	0	+	108885435	108885486	0	1	51,	0,	51
chr1	154220460	154220517	ENST00000648267.1__61-118	0	-	154220460	154220517	0	1	57,	0,	chr1	154220460	154220517	c1riboseqorf184	0	-	154220460	154220517	0	1	57,	0,	57
chr1	46718954	46719092	ENST00000674435.1__44-182	0	-	46718954	46719092	0	2	22,116,	0,22,	chr1	46718954	46719092	c1norep112	0	-	46718954	46719092	0	1	138,	0,	138
chr1	204411486	204411642	ENST00000690849.1__188-344	0	-	204411486	204411642	0	1	156,	0,	chr1	204411486	204411642	c1riboseqorf256	0	-	204411486	204411642	0	1	156,	0,	156
chr10	123007029	123007134	ENST00000368886.10__144-249	0	-	123007029	123007134	0	1	105,	0,	chr10	123007029	123007134	c10riboseqorf126	0	-	123007029	123007134	0	1	105,	0,	105
chr10	125111012	125158676	ENST00000531469.5__40-163	0	-	125111012	125158676	0	16	81,1,5,3,1,1,5,1,1,1,1,1,1,1,4,15,	0,47622,47623,47628,47631,47632,47633,47638,47639,47640,47641,47642,47643,47644,47645,47649,	chr10	125111012	125158676	c10riboseqorf131	0	-	125111012	125158676	0	2	81,42,	0,47622,	123
chr11	119334866	119335034	ENST00000311413.5__340-508	0	+	119334866	119335034	0	2	46,122,	0,46,	chr11	119334866	119335034	c11riboseqorf149	0	+	119334866	119335034	0	1	168,	0,	168
chr11	66289041	66289131	ENST00000376901.9__12-102	0	-	66289041	66289131	0	1	90,	0,	chr11	66289041	66289131	c11riboseqorf93	0	-	66289041	66289131	0	1	90,	0,	90
chr12	107760610	107761008	ENST00000228437.10__129-342	0	-	107760610	107761008	0	3	30,131,52,	0,30,346,	chr12	107760610	107761008	c12riboseqorf121	0	-	107760610	107761008	0	2	161,52,	0,346,	213
