chr1	45660497	45660548	ENST00000290795.7__802-853	0	-	45660497	45660548	0	2	47,4,	0,47,	chr1	45660497	45660548	c1riboseqorf92	0	-	45660497	45660548	0	1	51,	0,	51
chr1	15973039	15975989	ENST00000537142.5__90-183	0	-	15973039	15975989	0	2	86,7,	0,2943,	chr1	15973039	15975989	c1riboseqorf26	0	-	15973039	15975989	0	2	86,7,	0,2943,	93
chr1	108885435	108885486	ENST00000643094.1__433-484	0	+	108885435	108885486	0	1	51,	0,	chr1	108885435	108885486	c1riboseqorf138	0	+	108885435	108885486	0	1	51,	0,	51
chr1	154220460	154220517	ENST00000648267.1__61-118	0	-	154220460	154220517	0	1	57,	0,	chr1	154220460	154220517	c1riboseqorf184	0	-	154220460	154220517	0	1	57,	0,	57
chr1	46718954	46719092	ENST00000674435.1__44-182	0	-	46718954	46719092	0	2	22,116,	0,22,	chr1	46718954	46719092	c1norep112	0	-	46718954	46719092	0	1	138,	0,	138
chr1	204411486	204411642	ENST00000690849.1__188-344	0	-	204411486	204411642	0	1	156,	0,	chr1	204411486	204411642	c1riboseqorf256	0	-	204411486	204411642	0	1	156,	0,	156
chr11	119334866	119335034	ENST00000311413.5__340-508	0	+	119334866	119335034	0	2	46,122,	0,46,	chr11	119334866	119335034	c11riboseqorf149	0	+	119334866	119335034	0	1	168,	0,	168
chr11	66289041	66289131	ENST00000376901.9__12-102	0	-	66289041	66289131	0	1	90,	0,	chr11	66289041	66289131	c11riboseqorf93	0	-	66289041	66289131	0	1	90,	0,	90
chr11	207788	207950	ENST00000526104.6__81-243	0	+	207788	207950	0	2	84,78,	0,84,	chr11	207788	207950	c11riboseqorf2	0	+	207788	207950	0	1	162,	0,	162
chr12	12611921	12611999	ENST00000228865.3__46-124	0	+	12611921	12611999	0	1	78,	0,	chr12	12611921	12611999	c12riboseqorf23	0	+	12611921	12611999	0	1	78,	0,	78
chr12	56216458	56216524	ENST00000345093.9__252-318	0	-	56216458	56216524	0	1	66,	0,	chr12	56216458	56216524	c12riboseqorf72	0	-	56216458	56216524	0	1	66,	0,	66
chr12	123973929	123973992	ENST00000392404.7__136-199	0	+	123973929	123973992	0	1	63,	0,	chr12	123973929	123973992	c12riboseqorf161	0	+	123973929	123973992	0	1	63,	0,	63
chr12	124011953	124012040	ENST00000392404.7__789-876	0	+	124011953	124012040	0	2	79,8,	0,79,	chr12	124011953	124012040	c12riboseqorf164	0	+	124011953	124012040	0	1	87,	0,	87
